Ancestor?,Scan date,Nr,Name,Temp Evo,Gender,Nickname,Level,possibleLevels,CP,HP,Dust cost,min IV%,ØIV%,max IV%,ØATT IV,ØDEF IV,ØHP IV,Unique?,Fast move,Special move,Special move 2,DPS,Box,Custom1,Custom2,Saved,Egg,Lucky?,Favorite,BuddyBoosted,Form,ShadowForm,MultiForm?,Dynamax,Height (cm),Weight (g),Catch Date
0,10/4/24 7:35:04,901,Ursaluna,-,♂,67○⛰119B,7.0,7.0,710,101,800,66.7,66.7,66.7,1.0,14.0,15.0,1,Tackle,High Horsepower, - ,14.2,Default,,,0,0,0,1,0,2558,1,0, - ,219,292280,2022-11-12
0,10/4/24 7:34:59,901,Ursaluna Shadow,-,♂,Urs♂60,8.0,8.0,816,108,960,60.0,60.0,60.0,2.0,13.0,12.0,1, - , - , - ,0.0,Default,,,0,0,0,1,0,2558,2,0, - ,256,330890,2021-05-18
0,10/4/24 7:34:55,901,Ursaluna,-,♂,36夫⛰103A,14.0,14.0,1406,143,1600,35.6,35.6,35.6,0.0,6.0,10.0,1,Rock Smash,High Horsepower, - ,17.7,Default,,,0,0,0,0,0,2558,1,0, - ,351,551970,2022-11-12
0,10/4/24 7:34:49,901,Ursaluna,-,♀,62夫⛰103A,14.5,14.5,1500,148,1600,62.2,62.2,62.2,1.0,13.0,14.0,1,Rock Smash,High Horsepower, - ,18.1,Default,,,0,0,0,1,0,2558,1,0, - ,292,393800,2022-11-12
0,10/4/24 7:34:43,901,Ursaluna,-,♂,93○⛰119B,15.0,15.0,1642,150,1900,93.3,93.3,93.3,15.0,14.0,13.0,1,Tackle,High Horsepower, - ,22.3,Default,,,0,0,0,1,0,2558,1,0, - ,118,39850,2022-11-12
0,10/4/24 7:34:39,901,Ursaluna Shadow,-,♂,Urs♂93,50.0,50.0,4319,245,18000,93.3,93.3,93.3,14.0,13.0,15.0,1, - , - , - ,0.0,Default,,,0,0,0,1,0,2558,2,0, - ,258,360440,2021-03-12
0,10/4/24 7:34:25,760,Bewear,-,♂,84✞夫86B,33.0,33.0,2758,203,7000,84.4,84.4,84.4,15.0,12.0,11.0,1,Shadow Claw,Drain Punch, - ,25.0,Default,,,0,0,0,1,0,2440,1,0, - ,220,134580,2022-04-23
0,10/4/24 7:34:22,759,Stufful,-,♂,Stu♂76,8.0,8.0,290,67,800,75.6,75.6,75.6,10.0,15.0,9.0,1,Take Down, - , - ,0.0,Default,,,0,0,0,0,0,2439,1,0, - ,55,7840,2022-04-23
0,10/4/24 7:34:17,759,Stufful,-,♀,!Stu♀100,15.0,15.0,579,96,1900,100.0,100.0,100.0,15.0,15.0,15.0,1,Take Down, - , - ,0.0,Default,,,0,0,0,1,0,2439,1,0, - ,55,8470,2023-06-13
0,10/4/24 7:34:07,759,Stufful,-,♂,Stu♂64,21.0,21.0,757,109,3000,64.4,64.4,64.4,10.0,12.0,7.0,1,Take Down, - , - ,0.0,Default,,,0,0,0,0,0,2439,1,0, - ,48,6440,2022-04-23
0,10/4/24 7:34:04,759,Stufful,-,♂,Stu♂71,27.0,27.0,960,129,4500,71.1,71.1,71.1,4.0,14.0,14.0,1,Tackle, - , - ,0.0,Default,,,0,0,0,1,0,2439,1,0, - ,45,3990,2022-04-23
0,10/4/24 7:33:55,759,Stufful,-,♀,Stu♀69,28.0,28.0,988,131,4500,68.9,68.9,68.9,3.0,14.0,14.0,1,Take Down, - , - ,0.0,Default,,,0,0,0,1,0,2439,1,0, - ,60,9260,2023-12-11
0,10/4/24 7:33:51,675,Pangoro,-,♂,93⚙♜86C,20.0,20.0,1641,137,2500,93.3,93.3,93.3,14.0,13.0,15.0,1,Bullet Punch,Rock Slide, - ,19.4,Default,,,0,0,0,1,0,2364,1,0, - ,212,154980,2021-07-18
0,10/4/24 7:33:47,674,Pancham,-,♂,Pan♂76,20.0,20.0,801,108,2500,75.6,75.6,75.6,8.0,12.0,14.0,1, - , - , - ,0.0,Default,,,0,0,0,1,0,2363,1,0, - ,79,14980,2022-08-21
0,10/4/24 7:33:43,674,Pancham,-,♂,Pan♂76,20.0,20.0,807,107,2500,75.6,75.6,75.6,11.0,10.0,13.0,1, - , - , - ,0.0,Default,,,0,0,0,1,0,2363,1,0, - ,50,7580,2024-?-?
0,10/4/24 7:33:38,674,Pancham,-,♀,Pan♀89,20.0,20.0,826,108,2500,88.9,88.9,88.9,11.0,14.0,15.0,1, - , - , - ,0.0,Default,,,0,0,0,1,0,2363,1,0, - ,39,4720,2022-04-15
0,10/4/24 7:33:34,674,Pancham,-,♀,Pan♀91,20.0,20.0,836,108,2500,91.1,91.1,91.1,15.0,11.0,15.0,1, - , - , - ,0.0,Default,,,0,0,0,1,0,2363,1,0, - ,68,10660,2022-06-21
0,10/4/24 7:33:30,613,Cubchoo,-,♀,Cub♀69,11.0,11.0,305,70,1300,68.9,68.9,68.9,3.0,15.0,13.0,1,Charm, - , - ,0.0,Default,,,0,0,0,1,0,1996,1,0, - ,62,11900,2023-10-04
