"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF5","WSF5"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-01","7.61"," 0110","0.08","1.9","18.0",,"21","13",,"  180","21.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-02","35.57"," 2026","0.37","3.0","19.0",,"14","-6",,"  320","91.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-03","45.86"," 0534","0.31","3.6","21.0",,"13","-6",,"  360","82.1"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-04","32.66"," 0320","0.01","0.1","20.0",,"14","4",,"  320","74.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-05","24.38"," 2351","0.00","0.0","20.0",,"18","5",,"  320","47.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-06","49.66"," 2353","0.00","0.0","20.0",,"14","2",,"  320","80.1"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-07","56.82"," 0754","0.00","0.0","20.0",,"11","3",,"  320","87.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-08","17.00"," 2350","0.00","0.0","20.0",,"12","-1",,"  320","50.1"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-09","51.00"," 0628","0.00","0.0","20.0",,"8","-5",,"  320","81.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-10","44.96"," 2050","0.00","0.0","19.0",,"1","-5",,"  320","62.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-11","46.75"," 0641","0.01","0.2","18.0",,"5","-2",,"  320","72.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-12","48.32"," 1046","0.00","0.0","18.0",,"4","-15",,"  320","72.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-13","38.25"," 0145","0.00","0.0","18.0",,"13","-3",,"  320","70.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-14","19.91"," 2311","0.00","0.0","18.0",,"28","10",,"  270","51.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-15","52.57"," 0420","0.00","0.0","18.0",,"22","13",,"  270","74.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-16","55.92"," 0601","0.00","0.0","18.0",,"18","11",,"  270","81.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-17","23.71"," 0209","0.00","0.0","18.0",,"25","13",,"  320","51.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-18","19.01"," 2354","0.08","1.1","19.0",,"27","19",,"  270","32.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-19","14.76"," 0159","0.10","1.7","19.0",,"20","12",,"  270","34.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-20","17.00"," 1959","0.07","1.8","20.0",,"14","4",,"  360","45.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-21","35.12"," 0449","0.00","0.0","21.0",,"22","5",,"  320","61.1"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-22","28.41"," 0546","0.00","0.0","21.0",,"26","11",,"  320","53.0"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-23","22.82"," 1729","0.00","0.0","20.0",,"21","8",,"  320","40.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-24","32.44"," 1907","0.04","0.1","19.0",,"32","17",,"  230","65.1"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-25","54.58"," 1307","0.93","0.1","18.0",,"36","23",,"  140","97.1"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-26","43.40"," 1626","0.13","1.1","14.0",,"24","9",,"  270","72.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-27","27.07"," 0448","0.06","1.1","15.0",,"14","2",,"  270","53.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-28","34.90"," 2353","0.25","2.5","15.0",,"9","-17",,"  270","87.9"
"USW00014755","MOUNT WASHINGTON, NH US","2010-01-29","68.23"," 0137","0.00","0.0","16.0",,"-14","-26",,"  270","104.9"
